_id,date,pm10_µg_m3,so2_µg_m3,co_µg_m3,no2_µg_m3,nox_µg_m3
1,2021-01-01 00:00:56,199.45,26.38,1728.15,99.36,210.09
2,2021-01-01 01:00:56,286.38,28.91,2042.06,80.73,203.42
3,2021-01-01 02:00:56,232.53,24.06,1597.76,73.08,115.81
4,2021-01-01 03:00:56,114.1,21.68,1614.72,57.34,121.66
5,2021-01-01 04:00:56,111.0,22.69,2124.89,85.54,155.35
6,2021-01-01 05:00:56,136.33,18.31,1494.8,70.96,121.81
7,2021-01-01 06:00:56,131.16,14.66,477.09,51.54,77.75
8,2021-01-01 07:00:56,109.57,16.89,1297.46,72.08,114.82
9,2021-01-01 08:00:56,90.49,20.18,2036.76,81.65,228.13
10,2021-01-01 09:00:56,188.39,21.93,1349.8,68.25,167.51
11,2021-01-01 10:00:56,206.59,22.88,1243.34,80.84,161.39
12,2021-01-01 11:00:56,264.47,24.36,1017.1,89.69,129.0
13,2021-01-01 12:00:56,315.68,26.86,404.12,56.58,71.77
14,2021-01-01 13:00:56,179.65,16.05,0.27,37.78,41.33
15,2021-01-01 14:00:56,114.63,11.35,0.0,27.07,28.71
16,2021-01-01 15:00:56,66.24,8.23,0.0,25.04,26.49
17,2021-01-01 16:00:56,60.13,8.68,0.0,26.53,27.8
18,2021-01-01 17:00:56,58.05,10.41,86.74,51.86,57.34
19,2021-01-01 18:00:56,130.09,15.89,752.94,84.12,136.64
20,2021-01-01 19:00:56,182.66,21.26,1146.12,104.6,154.14
21,2021-01-01 20:00:56,213.22,28.22,1994.31,108.16,202.9
22,2021-01-01 21:00:56,252.97,29.51,1583.71,76.49,176.36
23,2021-01-01 22:00:56,216.01,25.3,1538.48,62.65,118.02
24,2021-01-01 23:00:56,151.68,17.9,1421.7,73.55,96.55
25,2021-01-02 00:00:56,122.74,19.56,2072.67,61.35,105.39
26,2021-01-02 01:00:56,138.31,14.51,1709.91,69.9,113.61
27,2021-01-02 02:00:56,154.59,17.5,1837.48,72.49,110.38
28,2021-01-02 03:00:56,117.01,13.41,2239.45,64.81,109.18
29,2021-01-02 04:00:56,120.87,13.25,1128.28,52.55,64.71
30,2021-01-02 05:00:56,66.45,10.21,1189.53,45.95,57.79
31,2021-01-02 06:00:56,45.52,6.51,846.7,43.55,56.17
32,2021-01-02 07:00:56,45.0,9.43,1191.46,57.96,91.21
33,2021-01-02 08:00:56,69.35,9.51,1861.58,89.56,189.25
34,2021-01-02 09:00:56,122.6,15.49,1877.36,103.24,216.13
35,2021-01-02 10:00:56,161.99,17.41,1597.41,81.49,118.41
36,2021-01-02 11:00:56,99.68,9.11,507.91,55.57,69.35
37,2021-01-02 12:00:56,92.16,5.01,400.34,60.46,72.08
38,2021-01-02 13:00:56,136.81,5.58,0.35,41.02,46.89
39,2021-01-02 14:00:56,79.55,2.27,0.0,23.56,24.88
40,2021-01-02 15:00:56,61.44,0.3,0.0,18.02,19.09
41,2021-01-02 16:00:56,41.52,0.73,0.0,17.71,18.56
42,2021-01-02 17:00:56,38.08,2.07,104.27,39.07,42.51
43,2021-01-02 18:00:56,95.47,5.25,683.86,83.84,130.6
44,2021-01-02 19:00:56,193.44,10.04,774.92,64.99,94.07
45,2021-01-02 20:00:56,132.68,18.24,1200.09,61.55,87.55
46,2021-01-02 21:00:56,161.2,16.86,1597.87,62.21,111.99
47,2021-01-02 22:00:56,158.1,19.79,1859.25,71.83,122.63
48,2021-01-02 23:00:56,168.72,20.46,2144.14,63.38,127.36
49,2021-01-03 00:00:56,154.39,22.29,1642.74,59.84,95.73
50,2021-01-03 01:00:56,142.49,22.23,2086.22,52.88,92.85
51,2021-01-03 02:00:56,118.62,18.04,1599.05,50.51,92.84
52,2021-01-03 03:00:56,114.1,17.53,1119.99,55.59,103.12
53,2021-01-03 04:00:56,103.28,15.69,1591.83,55.72,106.12
54,2021-01-03 05:00:56,119.56,14.07,1322.82,59.47,102.83
55,2021-01-03 06:00:56,112.21,15.83,1398.61,61.01,101.19
56,2021-01-03 07:00:56,92.52,19.11,1805.83,65.55,165.06
57,2021-01-03 08:00:56,114.41,16.9,1188.25,71.1,139.68
58,2021-01-03 09:00:56,106.23,17.61,983.64,51.7,161.09
59,2021-01-03 10:00:56,131.33,16.19,372.4,46.87,89.96
60,2021-01-03 11:00:56,157.25,10.53,315.78,51.07,82.15
61,2021-01-03 12:00:56,144.4,7.66,195.57,43.03,61.52
62,2021-01-03 13:00:56,103.21,7.58,91.03,39.88,47.22
63,2021-01-03 14:00:56,106.86,7.9,66.85,40.95,47.79
64,2021-01-03 15:00:56,93.4,5.01,30.84,41.61,46.35
65,2021-01-03 16:00:56,88.14,6.51,10.13,37.31,39.84
66,2021-01-03 17:00:56,102.57,5.32,48.44,48.23,52.46
67,2021-01-03 18:00:56,145.74,8.78,612.26,68.36,87.67
68,2021-01-03 19:00:56,205.28,9.67,453.12,97.81,130.28
69,2021-01-03 20:00:56,262.36,15.99,1295.91,80.25,162.85
70,2021-01-03 21:00:56,289.25,16.3,938.67,90.01,157.42
71,2021-01-03 22:00:56,200.64,17.21,1989.5,84.82,166.52
72,2021-01-03 23:00:56,269.87,16.71,2937.47,76.9,153.97
73,2021-01-04 00:00:56,291.43,21.8,3020.28,58.43,132.31
74,2021-01-04 01:00:56,249.94,18.46,2915.01,61.63,150.82
75,2021-01-04 02:00:56,232.46,18.37,1943.59,51.74,81.29
76,2021-01-04 03:00:56,141.67,12.93,2339.07,51.98,124.36
77,2021-01-04 04:00:56,180.76,14.7,2256.41,55.94,104.71
78,2021-01-04 05:00:56,143.15,14.17,1963.72,58.12,76.73
79,2021-01-04 06:00:56,102.18,10.76,2166.23,79.46,113.74
80,2021-01-04 07:00:56,123.34,12.37,2435.55,88.96,197.06
81,2021-01-04 08:00:56,250.26,19.97,2568.41,68.88,220.77
82,2021-01-04 09:00:56,185.04,45.56,5831.38,96.83,506.5
83,2021-01-04 10:00:56,830.83,45.92,3287.18,132.58,358.64
84,2021-01-04 11:00:56,659.63,50.47,4188.55,132.53,351.61
85,2021-01-04 12:00:56,619.03,42.6,2747.22,107.61,228.11
86,2021-01-04 13:00:56,372.27,32.99,839.8,75.13,112.76
87,2021-01-04 14:00:56,199.89,19.69,457.59,61.87,79.82
88,2021-01-04 15:00:56,181.4,17.99,61.07,51.36,59.53
89,2021-01-04 16:00:56,122.72,10.66,6.37,51.4,61.0
90,2021-01-04 17:00:56,117.11,13.22,439.15,84.75,128.19
91,2021-01-04 18:00:56,216.07,19.14,1681.2,116.08,265.16
92,2021-01-04 19:00:56,307.39,30.62,2915.85,110.58,369.03
93,2021-01-04 20:00:56,347.88,40.72,3101.1,128.9,353.35
94,2021-01-04 21:00:56,295.58,41.1,3448.44,85.9,324.92
95,2021-01-04 22:00:56,298.86,41.37,3311.54,103.28,318.14
96,2021-01-04 23:00:56,316.48,35.16,3930.05,115.17,310.52
97,2021-01-05 00:00:56,300.49,34.28,2178.49,72.4,142.66
98,2021-01-05 01:00:56,210.14,31.07,3717.21,133.55,350.24
99,2021-01-05 02:00:56,317.7,33.9,3219.64,73.1,370.68
100,2021-01-05 03:00:56,412.3,40.73,4112.65,91.68,353.59
101,2021-01-05 04:00:56,410.14,30.16,2692.96,84.47,175.04
102,2021-01-05 05:00:56,189.52,26.11,2610.17,77.03,162.58
103,2021-01-05 06:00:56,162.6,19.51,2009.58,94.05,143.77
104,2021-01-05 07:00:56,138.69,21.78,2866.01,77.58,226.03
105,2021-01-05 08:00:56,234.16,20.63,1727.22,92.3,216.31
106,2021-01-05 09:00:56,161.24,20.22,2002.14,140.44,264.55
107,2021-01-05 10:00:56,198.82,29.61,1720.82,124.21,235.95
108,2021-01-05 11:00:56,284.5,23.06,1980.7,105.94,172.35
109,2021-01-05 12:00:56,189.87,17.27,1132.58,79.47,106.48
110,2021-01-05 13:00:56,151.06,11.18,456.48,62.72,77.07
111,2021-01-05 14:00:56,95.61,6.34,239.94,62.09,70.47
112,2021-01-05 15:00:56,87.2,4.4,88.27,50.24,55.83
113,2021-01-05 16:00:56,77.29,2.98,203.22,69.7,89.48
114,2021-01-05 17:00:56,124.59,7.58,885.73,107.52,178.24
115,2021-01-05 18:00:56,168.74,13.95,1958.72,136.37,285.92
116,2021-01-05 19:00:56,232.16,16.15,2137.62,140.34,264.16
117,2021-01-05 20:00:56,224.29,16.92,1374.12,73.68,139.66
118,2021-01-05 21:00:56,114.25,12.61,792.41,72.71,91.95
119,2021-01-05 22:00:56,98.37,14.32,926.54,72.07,94.8
120,2021-01-05 23:00:56,118.4,18.65,1974.51,88.76,132.56
121,2021-01-06 00:00:56,135.51,18.23,1422.55,75.26,114.89
122,2021-01-06 01:00:56,112.1,21.17,1984.86,72.65,146.5
123,2021-01-06 02:00:56,111.97,17.17,1268.79,54.71,68.71
124,2021-01-06 03:00:56,58.58,18.5,1771.08,86.44,108.74
125,2021-01-06 04:00:56,123.05,15.24,1494.62,66.05,94.47
126,2021-01-06 05:00:56,124.03,16.3,1477.53,65.0,91.72
127,2021-01-06 06:00:56,75.44,17.63,1908.94,66.6,98.81
128,2021-01-06 07:00:56,59.43,15.97,2566.43,80.87,163.63
129,2021-01-06 08:00:56,89.11,19.99,2024.38,79.14,151.4
130,2021-01-06 09:00:56,87.09,19.9,2585.89,101.44,204.92
131,2021-01-06 10:00:56,144.3,25.98,3181.23,127.84,274.76
132,2021-01-06 11:00:56,390.76,31.06,1900.17,91.5,174.84
133,2021-01-06 12:00:56,235.8,29.6,1119.76,90.03,142.84
134,2021-01-06 13:00:56,228.09,24.13,654.73,83.19,109.44
135,2021-01-06 14:00:56,165.84,21.3,308.52,64.78,78.9
136,2021-01-06 15:00:56,121.26,14.84,0.0,48.74,54.56
137,2021-01-06 16:00:56,85.03,12.03,0.05,48.07,51.83
138,2021-01-06 17:00:56,87.89,10.84,143.13,78.71,107.16
139,2021-01-06 18:00:56,159.87,16.39,1285.59,83.36,214.8
140,2021-01-06 19:00:56,224.16,25.53,1665.43,83.26,200.49
141,2021-01-06 20:00:56,224.06,24.48,1370.42,73.38,164.65
142,2021-01-06 21:00:56,161.84,28.05,1957.43,85.26,191.24
143,2021-01-06 22:00:56,185.25,25.64,2570.38,70.22,276.7
144,2021-01-06 23:00:56,236.51,34.87,2990.72,66.48,189.44
145,2021-01-07 00:00:56,207.89,27.1,2253.43,91.75,150.92
146,2021-01-07 01:00:56,184.06,31.62,2517.23,88.12,242.35
147,2021-01-07 02:00:56,236.42,26.07,2173.81,79.34,171.01
148,2021-01-07 03:00:56,181.67,24.88,1949.83,62.16,122.25
149,2021-01-07 04:00:56,139.21,21.75,2230.48,75.28,114.38
150,2021-01-07 05:00:56,113.72,17.18,1780.72,80.25,110.43
151,2021-01-07 06:00:56,83.86,19.9,2208.69,121.25,194.36
152,2021-01-07 07:00:56,229.66,30.29,3074.49,113.16,301.49
153,2021-01-07 08:00:56,274.79,32.69,3203.84,89.83,410.94
154,2021-01-07 09:00:56,387.7,38.71,3086.63,111.92,433.7
155,2021-01-07 10:00:56,691.12,50.99,3442.33,130.77,413.42
156,2021-01-07 11:00:56,590.25,50.83,3053.97,135.93,355.44
157,2021-01-07 12:00:56,744.34,41.63,948.16,83.21,152.73
158,2021-01-07 13:00:56,291.53,23.79,145.31,65.54,98.63
159,2021-01-07 14:00:56,172.13,18.57,0.0,49.89,60.6
160,2021-01-07 15:00:56,89.36,12.99,0.0,51.33,57.45
161,2021-01-07 16:00:56,87.97,14.51,0.0,57.09,64.09
162,2021-01-07 17:00:56,107.43,12.04,89.78,109.73,144.81
163,2021-01-07 18:00:56,155.59,19.86,962.48,128.48,316.05
164,2021-01-07 19:00:56,371.65,30.01,2463.32,117.05,496.36
165,2021-01-07 20:00:56,420.74,39.89,2300.77,164.65,433.85
166,2021-01-07 21:00:56,367.61,41.66,3303.74,153.47,560.4
167,2021-01-07 22:00:56,418.45,43.54,3872.08,128.96,492.37
168,2021-01-07 23:00:56,413.2,38.53,3498.07,110.55,347.78
169,2021-01-08 00:00:56,286.74,35.38,4194.15,168.33,438.05
170,2021-01-08 01:00:56,347.05,33.89,3715.11,182.19,410.78
171,2021-01-08 02:00:56,413.13,36.82,4411.72,134.95,360.65
172,2021-01-08 03:00:56,363.52,33.41,2315.7,80.25,237.14
173,2021-01-08 04:00:56,305.67,28.29,1806.64,81.49,164.53
174,2021-01-08 05:00:56,249.61,19.05,1248.15,64.05,137.47
175,2021-01-08 06:00:56,227.6,18.41,1602.19,71.91,143.05
176,2021-01-08 07:00:56,236.71,17.79,2108.98,85.3,267.17
177,2021-01-08 08:00:56,309.84,26.39,3524.78,99.25,329.32
178,2021-01-08 09:00:56,280.92,32.81,5279.43,149.08,605.31
179,2021-01-08 10:00:56,706.39,47.99,3013.7,109.57,282.71
180,2021-01-08 11:00:56,479.1,36.38,1540.08,87.25,186.18
181,2021-01-08 12:00:56,271.92,20.63,648.73,77.99,112.09
182,2021-01-08 13:00:56,126.14,8.58,0.0,51.62,61.95
183,2021-01-08 14:00:56,75.38,4.67,0.0,39.77,43.81
184,2021-01-08 15:00:56,63.32,2.36,0.0,30.98,32.75
185,2021-01-08 16:00:56,49.4,1.5,0.0,32.57,34.74
186,2021-01-08 17:00:56,49.97,1.25,0.0,38.37,41.52
187,2021-01-08 18:00:56,57.77,1.33,0.2,43.16,47.23
188,2021-01-08 19:00:56,61.89,1.22,114.92,63.18,75.9
189,2021-01-08 20:00:56,71.71,2.93,100.61,59.08,62.74
190,2021-01-08 21:00:56,69.09,3.39,292.06,82.65,94.61
191,2021-01-08 22:00:56,87.45,11.95,1128.99,98.57,127.05
192,2021-01-08 23:00:56,133.65,22.04,1727.2,85.97,105.67
193,2021-01-09 00:00:56,128.2,18.16,1646.45,76.09,94.06
194,2021-01-09 01:00:56,122.26,19.58,1645.83,73.28,89.97
195,2021-01-09 02:00:56,111.32,18.51,1658.92,75.21,110.6
196,2021-01-09 03:00:56,220.75,21.85,1554.07,63.26,82.05
197,2021-01-09 04:00:56,174.47,14.29,921.61,48.79,59.98
198,2021-01-09 05:00:56,143.86,14.93,1117.71,51.22,62.73
199,2021-01-09 06:00:56,134.26,12.52,1220.88,54.49,86.38
200,2021-01-09 07:00:56,115.55,16.15,1395.4,85.3,146.71
201,2021-01-09 08:00:56,154.82,18.06,2452.75,101.14,221.37
202,2021-01-09 09:00:56,239.53,24.37,1804.48,74.45,167.59
203,2021-01-09 10:00:56,185.67,26.1,2013.29,72.18,159.04
204,2021-01-09 11:00:56,232.56,19.79,590.7,59.69,77.96
205,2021-01-09 12:00:56,150.47,12.17,130.12,41.04,49.57
206,2021-01-09 13:00:56,60.59,8.38,0.0,26.57,28.46
207,2021-01-09 14:00:56,46.34,6.16,0.0,21.69,23.26
208,2021-01-09 15:00:56,39.2,7.01,0.0,19.76,20.85
209,2021-01-09 16:00:56,35.11,5.7,0.0,20.78,22.16
210,2021-01-09 17:00:56,40.83,6.65,0.0,30.5,31.91
211,2021-01-09 18:00:56,48.77,7.74,0.0,39.35,41.29
212,2021-01-09 19:00:56,71.34,7.97,0.0,27.92,29.02
213,2021-01-09 20:00:56,52.57,7.02,36.56,28.15,29.13
214,2021-01-09 21:00:56,55.89,8.11,19.54,31.98,33.14
215,2021-01-09 22:00:56,53.09,6.93,0.0,26.16,27.09
216,2021-01-09 23:00:56,45.23,8.75,318.16,31.43,32.47
217,2021-01-10 00:00:56,43.06,8.28,327.9,26.83,27.76
218,2021-01-10 01:00:56,37.26,8.02,489.56,30.25,31.34
219,2021-01-10 02:00:56,41.86,9.19,669.79,34.02,34.86
220,2021-01-10 03:00:56,74.05,9.96,943.04,38.08,39.13
221,2021-01-10 04:00:56,83.74,10.99,1262.46,39.52,41.49
222,2021-01-10 05:00:56,88.86,10.96,1060.45,42.32,45.12
223,2021-01-10 06:00:56,85.11,9.68,1176.07,44.16,52.3
224,2021-01-10 07:00:56,81.11,11.36,1201.37,58.64,76.99
225,2021-01-10 08:00:56,111.11,12.46,1031.93,48.44,75.74
226,2021-01-10 09:00:56,92.57,14.03,1009.8,50.74,78.88
227,2021-01-10 10:00:56,154.16,11.63,641.23,37.37,65.81
228,2021-01-10 11:00:56,103.55,10.11,475.23,46.92,63.97
229,2021-01-10 12:00:56,113.66,10.66,193.67,39.22,46.02
230,2021-01-10 13:00:56,95.55,7.51,0.01,27.05,29.35
231,2021-01-10 14:00:56,116.37,5.22,0.0,21.02,22.48
232,2021-01-10 15:00:56,122.83,4.21,0.0,18.39,20.31
233,2021-01-10 16:00:56,117.17,3.26,0.0,17.2,18.68
234,2021-01-10 17:00:56,120.89,3.82,16.17,21.42,22.81
235,2021-01-10 18:00:56,119.06,5.87,56.63,30.18,31.39
236,2021-01-10 19:00:56,133.57,7.33,541.45,74.57,120.21
237,2021-01-10 20:00:56,157.31,10.92,775.8,60.09,80.2
238,2021-01-10 21:00:56,157.03,10.04,316.82,40.98,47.79
239,2021-01-10 22:00:56,117.18,8.79,1004.93,64.01,85.86
240,2021-01-10 23:00:56,149.99,11.97,2228.16,72.85,114.78
241,2021-01-11 00:00:56,221.9,15.16,2735.1,77.11,122.81
242,2021-01-11 01:00:56,264.15,14.51,2690.6,71.87,123.64
243,2021-01-11 02:00:56,246.57,14.08,1238.36,48.9,69.0
244,2021-01-11 03:00:56,171.21,8.91,1063.25,37.89,51.38
245,2021-01-11 04:00:56,143.75,10.3,1291.88,45.95,62.05
246,2021-01-11 05:00:56,139.11,7.6,1326.78,47.0,66.65
247,2021-01-11 06:00:56,123.46,9.62,1579.1,53.84,95.55
248,2021-01-11 07:00:56,131.74,8.5,1506.41,49.89,113.43
249,2021-01-11 08:00:56,165.99,12.85,1304.26,64.64,136.31
250,2021-01-11 09:00:56,190.31,10.19,1438.55,83.02,156.86
251,2021-01-11 10:00:56,166.72,15.64,1996.21,105.68,230.79
252,2021-01-11 11:00:56,299.06,21.54,2407.09,107.53,299.66
253,2021-01-11 12:00:56,353.51,29.81,4023.63,136.06,386.16
254,2021-01-11 13:00:56,488.06,35.98,2218.16,109.82,330.18
255,2021-01-11 14:00:56,490.06,36.5,1214.62,125.35,267.53
256,2021-01-11 15:00:56,412.3,29.02,1505.56,137.38,309.59
257,2021-01-11 16:00:56,484.79,31.23,2276.05,153.68,367.28
258,2021-01-11 17:00:56,521.97,32.36,2070.82,126.86,340.69
259,2021-01-11 18:00:56,383.14,28.66,2988.61,167.93,466.95
260,2021-01-11 19:00:56,412.02,39.96,4578.45,169.14,579.19
261,2021-01-11 20:00:56,480.99,46.86,5977.24,160.83,715.26
262,2021-01-11 21:00:56,481.06,51.95,5987.66,146.55,608.47
263,2021-01-11 22:00:56,431.47,45.0,4750.61,99.06,415.91
264,2021-01-11 23:00:56,336.76,41.29,5782.0,108.68,471.76
265,2021-01-12 00:00:56,381.59,42.21,6500.14,136.7,503.18
266,2021-01-12 01:00:56,393.52,42.69,6329.92,152.78,438.53
267,2021-01-12 02:00:56,388.17,41.61,6182.04,136.84,418.55
268,2021-01-12 03:00:56,369.55,33.2,4662.04,109.42,288.39
269,2021-01-12 04:00:56,275.76,33.72,4905.51,96.99,301.45
270,2021-01-12 05:00:56,312.82,31.99,4955.18,102.74,355.38
271,2021-01-12 06:00:56,347.99,38.32,5469.5,101.14,411.48
272,2021-01-12 07:00:56,427.67,39.05,5307.91,166.83,517.04
273,2021-01-12 08:00:56,451.39,42.18,5843.55,171.49,531.99
274,2021-01-12 09:00:56,309.22,42.4,5129.19,128.58,466.69
275,2021-01-12 10:00:56,448.92,32.05,1701.0,76.72,160.75
276,2021-01-12 11:00:56,121.8,19.62,1198.15,62.26,114.01
277,2021-01-12 12:00:56,121.71,13.57,656.4,58.99,86.66
278,2021-01-12 13:00:56,108.4,6.95,132.95,48.43,64.2
279,2021-01-12 14:00:56,110.91,2.3,0.0,37.63,41.68
280,2021-01-12 15:00:56,70.16,1.67,0.0,36.89,41.28
281,2021-01-12 16:00:56,57.33,1.78,0.0,41.25,46.02
282,2021-01-12 17:00:56,73.53,0.31,0.0,36.79,39.11
283,2021-01-12 18:00:56,96.37,0.23,0.03,39.2,42.77
284,2021-01-12 19:00:56,80.47,1.48,86.85,36.68,38.9
285,2021-01-12 20:00:56,68.33,-0.11,127.98,32.03,33.6
286,2021-01-12 21:00:56,58.28,0.4,113.14,24.67,25.78
287,2021-01-12 22:00:56,47.3,5.0,130.51,17.71,18.7
288,2021-01-12 23:00:56,46.03,8.33,134.53,17.93,19.41
289,2021-01-13 00:00:56,47.94,9.23,154.23,13.49,14.29
290,2021-01-13 01:00:56,54.69,8.19,231.38,11.45,12.25
291,2021-01-13 02:00:56,49.17,8.12,338.81,11.32,11.95
292,2021-01-13 03:00:56,55.81,7.46,173.43,9.45,10.47
293,2021-01-13 04:00:56,56.0,5.93,82.09,9.68,10.43
294,2021-01-13 05:00:56,83.23,7.02,190.98,9.19,9.98
295,2021-01-13 06:00:56,91.78,7.59,242.59,10.3,10.97
296,2021-01-13 07:00:56,55.05,5.84,165.36,16.66,17.69
297,2021-01-13 08:00:56,75.39,7.51,214.82,24.8,26.48
298,2021-01-13 09:00:56,61.41,7.03,215.76,28.92,31.43
299,2021-01-13 10:00:56,72.67,7.36,146.0,24.48,26.23
300,2021-01-13 11:00:56,,,,,
301,2021-01-13 12:00:56,194.54,5.18,159.74,20.52,21.89
302,2021-01-13 13:00:56,60.92,5.57,178.33,24.43,26.13
303,2021-01-13 14:00:56,29.75,7.4,109.35,23.3,25.17
304,2021-01-13 15:00:56,16.34,6.39,514.01,40.59,45.31
305,2021-01-13 16:00:56,28.66,7.77,648.18,40.17,45.26
306,2021-01-13 17:00:56,36.79,5.74,661.05,38.68,44.85
307,2021-01-13 18:00:56,33.1,8.55,1222.78,62.16,88.85
308,2021-01-13 19:00:56,59.3,10.62,1101.0,62.65,97.03
309,2021-01-13 20:00:56,75.59,12.52,1235.4,61.97,96.36
310,2021-01-13 21:00:56,78.92,9.62,700.89,52.39,60.8
311,2021-01-13 22:00:56,65.36,7.27,711.84,39.86,43.29
312,2021-01-13 23:00:56,41.62,6.86,508.62,24.9,26.46
313,2021-01-14 00:00:56,25.41,4.83,391.37,22.54,23.2
314,2021-01-14 01:00:56,28.9,4.55,649.03,22.21,23.06
315,2021-01-14 02:00:56,35.82,4.73,391.84,19.76,20.58
316,2021-01-14 03:00:56,35.03,5.26,842.42,26.65,27.81
317,2021-01-14 04:00:56,44.74,7.2,802.5,30.57,32.82
318,2021-01-14 05:00:56,71.3,8.23,1215.53,42.15,47.47
319,2021-01-14 06:00:56,85.64,9.68,793.18,32.24,40.7
320,2021-01-14 07:00:56,87.95,8.3,904.34,36.05,42.54
321,2021-01-14 08:00:56,48.06,5.57,1089.26,54.24,87.37
322,2021-01-14 09:00:56,70.38,10.74,1533.01,61.17,119.74
323,2021-01-14 10:00:56,210.3,12.26,1365.25,65.83,126.52
324,2021-01-14 11:00:56,269.53,14.93,1355.7,70.01,121.97
325,2021-01-14 12:00:56,248.59,13.5,913.52,66.9,95.87
326,2021-01-14 13:00:56,187.6,10.0,514.59,44.97,59.53
327,2021-01-14 14:00:56,61.31,7.63,169.59,27.61,30.7
328,2021-01-14 15:00:56,23.91,6.18,216.33,31.43,35.51
329,2021-01-14 16:00:56,26.9,7.85,325.77,28.32,30.75
330,2021-01-14 17:00:56,19.21,5.26,131.96,26.22,28.33
331,2021-01-14 18:00:56,30.69,5.09,488.2,49.76,77.53
332,2021-01-14 19:00:56,60.22,8.97,862.54,67.82,103.57
333,2021-01-14 20:00:56,82.43,7.85,982.96,66.23,94.38
334,2021-01-14 21:00:56,93.72,11.41,1150.5,75.52,101.92
335,2021-01-14 22:00:56,98.87,9.99,1420.75,71.65,95.36
336,2021-01-14 23:00:56,90.23,5.32,782.9,54.99,75.53
337,2021-01-15 00:00:56,100.72,3.63,208.54,39.79,43.33
338,2021-01-15 01:00:56,71.72,3.39,464.06,38.63,41.65
339,2021-01-15 02:00:56,72.95,3.37,268.94,34.01,36.45
340,2021-01-15 03:00:56,49.62,4.31,376.7,34.17,51.85
341,2021-01-15 04:00:56,60.69,7.67,1231.57,41.98,75.44
342,2021-01-15 05:00:56,164.26,9.22,852.71,33.91,44.15
343,2021-01-15 06:00:56,57.9,3.8,530.07,30.44,33.23
344,2021-01-15 07:00:56,32.59,2.99,463.77,50.36,85.63
345,2021-01-15 08:00:56,165.46,8.25,1032.5,55.63,138.35
346,2021-01-15 09:00:56,275.18,16.73,1191.73,57.96,130.14
347,2021-01-15 10:00:56,234.16,10.43,497.54,48.6,80.31
348,2021-01-15 11:00:56,161.89,9.25,852.17,38.76,61.5
349,2021-01-15 12:00:56,130.78,6.75,649.24,51.65,73.48
350,2021-01-15 13:00:56,132.92,6.08,521.54,53.0,65.15
351,2021-01-15 14:00:56,91.11,3.79,458.85,55.51,81.93
352,2021-01-15 15:00:56,111.43,1.87,271.5,34.74,41.45
353,2021-01-15 16:00:56,32.12,0.55,68.87,19.68,21.4
354,2021-01-15 17:00:56,11.49,-1.52,80.3,28.07,30.22
355,2021-01-15 18:00:56,24.64,-1.17,84.81,39.54,44.45
356,2021-01-15 19:00:56,25.0,0.82,438.32,46.34,58.33
357,2021-01-15 20:00:56,35.72,-0.63,186.96,29.06,31.07
358,2021-01-15 21:00:56,26.26,-0.13,350.42,19.15,20.24
359,2021-01-15 22:00:56,24.05,1.65,662.75,17.57,18.31
360,2021-01-15 23:00:56,19.13,5.01,342.79,21.45,22.34
361,2021-01-16 00:00:56,17.05,5.4,354.68,18.57,19.47
362,2021-01-16 01:00:56,17.98,2.23,122.56,15.85,16.67
363,2021-01-16 02:00:56,12.16,2.29,0.0,18.04,18.55
364,2021-01-16 03:00:56,23.69,3.71,25.6,19.21,20.12
365,2021-01-16 04:00:56,19.13,3.74,225.68,23.23,24.05
366,2021-01-16 05:00:56,37.51,1.33,2.31,20.03,20.75
367,2021-01-16 06:00:56,38.0,2.29,0.0,20.51,21.34
368,2021-01-16 07:00:56,35.08,3.35,150.09,29.48,32.92
369,2021-01-16 08:00:56,41.82,3.78,323.24,43.2,55.26
370,2021-01-16 09:00:56,68.3,7.45,153.83,39.83,45.3
371,2021-01-16 10:00:56,55.36,7.87,214.6,29.36,33.44
372,2021-01-16 11:00:56,50.13,4.7,202.29,24.95,28.47
373,2021-01-16 12:00:56,60.72,6.52,281.55,27.05,31.4
374,2021-01-16 13:00:56,89.25,6.17,131.67,27.69,32.91
375,2021-01-16 14:00:56,107.53,6.65,190.72,28.59,34.05
376,2021-01-16 15:00:56,105.08,9.46,9.47,31.64,38.13
377,2021-01-16 16:00:56,128.38,7.27,0.89,32.39,37.12
378,2021-01-16 17:00:56,98.8,8.5,25.34,37.89,42.57
379,2021-01-16 18:00:56,111.64,7.66,0.0,40.63,46.23
380,2021-01-16 19:00:56,125.64,7.45,162.25,40.12,42.55
381,2021-01-16 20:00:56,124.05,8.19,15.28,39.91,45.17
382,2021-01-16 21:00:56,129.84,8.48,156.12,28.35,30.31
383,2021-01-16 22:00:56,110.52,8.03,0.0,28.33,30.75
384,2021-01-16 23:00:56,76.88,8.21,427.35,29.15,32.37
385,2021-01-17 00:00:56,50.67,11.34,417.51,25.0,25.94
386,2021-01-17 01:00:56,24.63,7.78,225.07,13.83,14.55
387,2021-01-17 02:00:56,9.39,7.45,441.9,13.84,14.63
388,2021-01-17 03:00:56,8.03,6.57,353.1,18.46,19.13
389,2021-01-17 04:00:56,23.59,7.41,633.27,26.19,27.09
390,2021-01-17 05:00:56,37.64,6.14,529.21,30.02,31.13
391,2021-01-17 06:00:56,30.21,7.5,581.29,31.41,39.0
392,2021-01-17 07:00:56,17.34,5.42,431.56,34.3,47.32
393,2021-01-17 08:00:56,32.59,5.87,548.74,32.53,40.81
